gene	in_raghunath	in_baxter	in_gwas	in_bajpai	n_studies	chrom	start	end	strand	ensembl_id	coord_source	reference_genome
TBX19	0	1	0	0	1	1	168280877	168314426	+	ENSG00000143178	mygene.info	GRCh38
FASLG	1	0	0	0	1	chr1	172649102	172676876			gene_regions_bed	GRCh38
COP1	0	1	0	0	1	1	175944828	176207510	-	ENSG00000143207	mygene.info	GRCh38
SMG7	0	0	0	1	1	1	183471957	183598246	+	ENSG00000116698	mygene.info	GRCh38
RNF2	0	1	0	0	1	1	185044865	185102603	+	ENSG00000121481	mygene.info	GRCh38
PTGS2	1	0	0	0	1	chr1	186661791	186690922			gene_regions_bed	GRCh38
CDC73	0	1	0	0	1	1	193115732	193264613	+	ENSG00000134371	mygene.info	GRCh38
SHISA4	0	0	0	1	1	1	201888679	201892587	+	ENSG00000198892	mygene.info	GRCh38
MDM4	0	1	0	0	1	1	204516369	204558120	+	ENSG00000198625	mygene.info	GRCh38
DSTYK	0	1	1	0	2	1	205142505	205211709	-	ENSG00000133059	mygene.info	GRCh38
IL10	1	0	0	0	1	chr1	206757602	206784541			gene_regions_bed	GRCh38
CR1L	0	0	1	0	1	1	207645113	207738416	+	ENSG00000197721	mygene.info	GRCh38
DEGS1	0	0	0	1	1	1	224175756	224193441	+	ENSG00000143753	mygene.info	GRCh38
PSEN2	0	1	0	0	1	1	226870184	226927726	+	ENSG00000143801	mygene.info	GRCh38
WNT3A	0	1	0	0	1	1	228006924	228061271	+	ENSG00000154342	mygene.info	GRCh38
DISC1	0	1	0	0	1	1	231626790	232041272	+	ENSG00000162946	mygene.info	GRCh38
IRF2BP2	0	0	0	1	1	1	234602300	234610178	-	ENSG00000168264	mygene.info	GRCh38
LYST	0	1	0	1	2	1	235661041	235883724	-	ENSG00000143669	mygene.info	GRCh38
EDARADD	0	1	0	0	1	1	236348257	236502915	+	ENSG00000186197	mygene.info	GRCh38
PXDN	0	1	0	0	1	2	1631887	1744852	-	ENSG00000130508	mygene.info	GRCh38
RPS7	0	1	0	0	1	2	3575198	3580952	+	ENSG00000171863	mygene.info	GRCh38
COLEC11	0	1	0	0	1	2	3592791	3644649	+	ENSG00000118004	mygene.info	GRCh38
ADAM17	0	1	0	0	1	2	9488486	9556732	-	ENSG00000151694	mygene.info	GRCh38
POMC	0	1	0	0	1	2	25160853	25168903	-	ENSG00000115138	mygene.info	GRCh38
MPV17	0	1	0	0	1	2	27309486	27325680	-	ENSG00000115204	mygene.info	GRCh38
FOSL2	0	0	1	0	1	2	28392448	28417317	+	ENSG00000075426	mygene.info	GRCh38
MEMO1	0	1	0	0	1	2	31865060	32011230	-	ENSG00000162959	mygene.info	GRCh38
MSH2	0	1	0	0	1	2	47403067	47663146	+	ENSG00000095002	mygene.info	GRCh38
MSH6	0	1	0	0	1	2	47695530	47810109	+	ENSG00000116062	mygene.info	GRCh38
WDPCP	0	1	0	0	1	2	63119559	63827843	-	ENSG00000143951	mygene.info	GRCh38
VPS54	0	0	0	1	1	2	63892146	64019476	-	ENSG00000143952	mygene.info	GRCh38
RAB1A	0	1	0	0	1	2	65070696	65130986	-	ENSG00000138069	mygene.info	GRCh38
ACTR2	0	0	0	1	1	2	65227745	65271253	+	ENSG00000138071	mygene.info	GRCh38
GFPT1	0	1	0	0	1	2	69319780	69387281	-	ENSG00000198380	mygene.info	GRCh38
NOTO	0	1	0	0	1	2	73202574	73212513	+	ENSG00000214513	mygene.info	GRCh38
TET3	0	1	0	0	1	2	73984910	74108177	+	ENSG00000187605	mygene.info	GRCh38
DCTN1	0	1	0	0	1	2	74361154	74392087	-	ENSG00000204843	mygene.info	GRCh38
ST3GAL5	0	1	0	0	1	2	85837120	85905199	-	ENSG00000115525	mygene.info	GRCh38
POLR1A	0	1	0	0	1	2	86020216	86106155	-	ENSG00000068654	mygene.info	GRCh38
SEMA4C	0	1	0	0	1	2	96859718	96873840	-	ENSG00000168758	mygene.info	GRCh38
IL1R1	1	0	0	0	1	chr2	102053933	102189874			gene_regions_bed	GRCh38
EDAR	0	1	0	0	1	2	108894471	108989372	-	ENSG00000135960	mygene.info	GRCh38
BCL2L11	0	1	0	0	1	2	111119378	111168444	+	ENSG00000153094	mygene.info	GRCh38
IL1A	1	0	0	0	1	chr2	112763925	112794493			gene_regions_bed	GRCh38
ACTR3	0	0	0	1	1	2	113889600	113962596	+	ENSG00000115091	mygene.info	GRCh38
CCDC93	0	0	0	1	1	2	117915478	118014192	-	ENSG00000125633	mygene.info	GRCh38
EN1	0	1	0	0	1	2	118842171	118847648	-	ENSG00000163064	mygene.info	GRCh38
ERCC3	0	1	0	0	1	2	127257285	127294188	-	ENSG00000163161	mygene.info	GRCh38
TMEM163	0	0	1	1	2	2	134455759	134719100	-	ENSG00000152128	mygene.info	GRCh38
UBXN4	0	1	0	0	1	2	135741631	135785063	+	ENSG00000144224	mygene.info	GRCh38
ZEB2	0	1	0	0	1	2	144364364	144521057	-	ENSG00000169554	mygene.info	GRCh38
ACVR2A	0	1	0	0	1	2	147844378	147930826	+	ENSG00000121989	mygene.info	GRCh38
ATF2	1	0	0	0	1	chr2	175062250	175178382			gene_regions_bed	GRCh38
SLC40A1	0	1	0	0	1	2	189560538	189583758	-	ENSG00000138449	mygene.info	GRCh38
STAT1	1	0	0	0	1	chr2	190898460	191030960			gene_regions_bed	GRCh38
SF3B1	0	1	0	0	1	2	197388515	197435079	-	ENSG00000115524	mygene.info	GRCh38
CFLAR	1	0	0	0	1	chr2	201106154	201186687			gene_regions_bed	GRCh38
CASP8	1	0	0	0	1	chr2	201223443	201371836			gene_regions_bed	GRCh38
BMPR2	0	1	0	0	1	2	202376327	202567751	+	ENSG00000204217	mygene.info	GRCh38
RAPH1	0	1	0	0	1	2	203394345	203535451	-	ENSG00000173166	mygene.info	GRCh38
CTLA4	0	1	0	0	1	2	203853888	203873965	+	ENSG00000163599	mygene.info	GRCh38
CREB1	1	0	0	0	1	chr2	207519737	207615988			gene_regions_bed	GRCh38
PIKFYVE	0	1	0	0	1	2	208266234	208358755	+	ENSG00000115020	mygene.info	GRCh38
SPAG16	0	0	0	1	1	2	213284389	214410501	+	ENSG00000144451	mygene.info	GRCh38
ABCA12	0	1	0	0	1	2	214931542	215138626	-	ENSG00000144452	mygene.info	GRCh38
MREG	0	1	0	0	1	2	215942584	216034096	-	ENSG00000118242	mygene.info	GRCh38
SMARCAL1	0	1	0	0	1	2	216412383	216483056	+	ENSG00000138375	mygene.info	GRCh38
ABCB6	0	1	0	0	1	2	219209766	219219012	-	ENSG00000115657	mygene.info	GRCh38
EPHA4	0	0	1	0	1	2	221418027	221574202	-	ENSG00000116106	mygene.info	GRCh38
PAX3	1	1	1	0	3	chr2	222189887	222308998			gene_regions_bed	GRCh38
WDFY1	0	0	0	1	1	2	223855716	223945357	-	ENSG00000085449	mygene.info	GRCh38
KCNJ13	0	1	0	0	1	2	232765802	232776565	-	ENSG00000115474	mygene.info	GRCh38
DGKD	0	0	0	1	1	2	233354484	233472104	+	ENSG00000077044	mygene.info	GRCh38
SH3BP4	0	1	0	0	1	2	234952017	235055714	+	ENSG00000130147	mygene.info	GRCh38
MLPH	0	1	0	0	1	2	237485428	237555322	+	ENSG00000115648	mygene.info	GRCh38
RAB17	0	1	0	0	1	2	237574322	237601623	-	ENSG00000124839	mygene.info	GRCh38
HDAC4	0	0	0	1	1	2	239048168	239401661	-	ENSG00000068024	mygene.info	GRCh38
ARL8B	0	0	0	1	1	3	5122249	5180911	+	ENSG00000134108	mygene.info	GRCh38
ARPC4	0	0	0	1	1	3	9792493	9807107	+	ENSG00000241553	mygene.info	GRCh38
ARPC4-TTLL3	0	0	0	1	1	3	9793082	9835401	+	ENSG00000250151	mygene.info	GRCh38
FANCD2	0	1	0	0	1	3	10026370	10101937	+	ENSG00000144554	mygene.info	GRCh38
ATG7	0	1	0	0	1	3	11272309	11557665	+	ENSG00000197548	mygene.info	GRCh38
RAF1	1	1	0	0	2	chr3	12572101	12674201			gene_regions_bed	GRCh38
WNT7A	0	1	0	0	1	3	13816258	13880071	-	ENSG00000154764	mygene.info	GRCh38
XPC	0	1	0	0	1	3	14145145	14178652	-	ENSG00000154767	mygene.info	GRCh38
BTD	0	1	0	0	1	3	15601341	15722311	+	ENSG00000169814	mygene.info	GRCh38
TBC1D5	0	0	0	1	1	3	17157162	18444817	-	ENSG00000131374	mygene.info	GRCh38
TGFBR2	0	1	0	0	1	3	30606478	30694249	+	ENSG00000163513	mygene.info	GRCh38
MLH1	0	1	0	0	1	3	36993226	37050896	+	ENSG00000076242	mygene.info	GRCh38
MYRIP	0	1	0	0	1	3	39808914	40260321	+	ENSG00000170011	mygene.info	GRCh38
CTNNB1	1	1	0	0	2	chr3	41184741	41270096			gene_regions_bed	GRCh38
SLC26A6	0	0	0	1	1	3	48625718	48635493	-	ENSG00000225697	mygene.info	GRCh38
RHOA	1	0	0	0	1	chr3	49349136	49422998			gene_regions_bed	GRCh38
GMPPB	0	1	0	0	1	3	49716844	49723985	-	ENSG00000173540	mygene.info	GRCh38
RBM5	0	0	0	1	1	3	50088919	50119021	+	ENSG00000003756	mygene.info	GRCh38
PARP3	0	1	0	0	1	3	51942252	51948871	+	ENSG00000041880	mygene.info	GRCh38
PRKCD	1	0	0	0	1	chr3	53146009	53202717			gene_regions_bed	GRCh38
WNT5A	1	0	0	0	1	chr3	55455715	55500539			gene_regions_bed	GRCh38
PDHB	0	1	0	0	1	3	58427630	58434012	-	ENSG00000168291	mygene.info	GRCh38
PRICKLE2	0	1	0	0	1	3	64092236	64445476	-	ENSG00000163637	mygene.info	GRCh38
ADAMTS9	0	1	0	0	1	3	64515654	64688000	-	ENSG00000163638	mygene.info	GRCh38
KBTBD8	0	1	0	0	1	3	66998307	67011210	+	ENSG00000163376	mygene.info	GRCh38
MITF	1	1	0	0	2	chr3	69728536	69978336			gene_regions_bed	GRCh38
C3ORF38	0	1	0	0	1	3	88149647	88168729	+	ENSG00000179021	mygene.info	GRCh38
ARL6	0	1	0	0	1	3	97764521	97801229	+	ENSG00000113966	mygene.info	GRCh38
RPL24	0	1	0	0	1	3	101681091	101686757	-	ENSG00000114391	mygene.info	GRCh38
ALCAM	0	1	0	0	1	3	105366706	105576909	+	ENSG00000170017	mygene.info	GRCh38
IGSF11	0	1	0	0	1	3	118900557	119146068	-	ENSG00000144847	mygene.info	GRCh38
POGLUT1	0	1	0	0	1	3	119468963	119494708	+	ENSG00000163389	mygene.info	GRCh38
GSK3B	1	0	0	0	1	chr3	119811321	120104994			gene_regions_bed	GRCh38
ADCY5	0	1	0	0	1	3	123282296	123449090	-	ENSG00000173175	mygene.info	GRCh38
MCM2	0	1	0	0	1	3	127598223	127622437	+	ENSG00000073111	mygene.info	GRCh38
RAB7A	0	1	0	1	2	3	128693669	128825942	+	ENSG00000075785	mygene.info	GRCh38
IFT122	0	1	0	0	1	3	129429607	129520510	+	ENSG00000163913	mygene.info	GRCh38
DNAJC13	0	0	0	1	1	3	132417502	132539032	+	ENSG00000138246	mygene.info	GRCh38
COPB2	0	1	0	0	1	3	139353942	139389736	-	ENSG00000184432	mygene.info	GRCh38
ZBTB38	0	0	1	0	1	3	141324154	141449792	+	ENSG00000177311	mygene.info	GRCh38
ATR	0	1	0	0	1	3	142449007	142578781	-	ENSG00000175054	mygene.info	GRCh38
HPS3	0	1	0	1	2	3	149129618	149173732	+	ENSG00000163755	mygene.info	GRCh38
COMMD2	0	0	0	1	1	3	149734667	149752495	-	ENSG00000114744	mygene.info	GRCh38
SLC33A1	0	0	0	1	1	3	155821024	155854456	-	ENSG00000169359	mygene.info	GRCh38
GMPS	0	1	0	0	1	3	155870591	155944020	+	ENSG00000163655	mygene.info	GRCh38
IL12A	1	0	0	0	1	chr3	159978835	160006019			gene_regions_bed	GRCh38
PDCD10	0	0	0	1	1	3	167683298	167735039	-	ENSG00000114209	mygene.info	GRCh38
SERPINI1	0	0	1	0	1	3	167735068	167825573	+	ENSG00000163536	mygene.info	GRCh38
TBL1XR1	0	0	0	1	1	3	177019340	177228000	-	ENSG00000177565	mygene.info	GRCh38
PIK3CA	1	0	0	0	1	chr3	179138114	179250093			gene_regions_bed	GRCh38
USP13	0	1	0	0	1	3	179653004	179804366	+	ENSG00000058056	mygene.info	GRCh38
SOX2	0	1	0	0	1	3	181711925	181714436	+	ENSG00000181449	mygene.info	GRCh38
ECE2	0	1	0	0	1	3	184275531	184293031	+	ENSG00000145194	mygene.info	GRCh38
LIPH	0	1	0	0	1	3	185506262	185552617	-	ENSG00000163898	mygene.info	GRCh38
MASP1	0	1	0	0	1	3	187217282	187291980	-	ENSG00000127241	mygene.info	GRCh38
TP63	0	1	0	0	1	3	189631389	189897276	+	ENSG00000073282	mygene.info	GRCh38
HES1	0	1	0	0	1	3	194136142	194138732	+	ENSG00000114315	mygene.info	GRCh38
LMLN	0	1	0	0	1	3	197960200	198043720	+	ENSG00000185621	mygene.info	GRCh38
IDUA	0	1	0	0	1	4	986997	1008344	+	ENSG00000127415	mygene.info	GRCh38
UVSSA	0	1	0	0	1	4	1345691	1395989	+	ENSG00000163945	mygene.info	GRCh38
FGFR3	0	1	0	0	1	4	1793286	1808873	+	ENSG00000068078	mygene.info	GRCh38
HAUS3	0	0	0	1	1	4	2227464	2242133	-	ENSG00000214367	mygene.info	GRCh38
HTT	0	1	0	0	1	4	3041363	3243957	+	ENSG00000197386	mygene.info	GRCh38
BLOC1S4	0	1	0	0	1	4	6716174	6717664	+	ENSG00000186222	mygene.info	GRCh38
PPARGC1A	0	1	0	0	1	4	23755041	23904089	-	ENSG00000109819	mygene.info	GRCh38
RBPJ	0	1	0	0	1	4	26163455	26435131	+	ENSG00000168214	mygene.info	GRCh38
COMMD8	0	0	0	1	1	4	47450787	47463730	-	ENSG00000169019	mygene.info	GRCh38
CORIN	0	1	0	0	1	4	47593999	47838132	-	ENSG00000145244	mygene.info	GRCh38
FRYL	0	0	0	1	1	4	48497357	48780322	-	ENSG00000075539	mygene.info	GRCh38
FIP1L1	0	0	0	1	1	4	53377562	53464382	+	ENSG00000145216	mygene.info	GRCh38
KIT	1	1	0	0	2	chr4	54647267	54750783			gene_regions_bed	GRCh38
PAICS	0	1	0	0	1	4	56435058	56464578	+	ENSG00000128050	mygene.info	GRCh38
REST	0	1	0	0	1	4	56907876	56966808	+	ENSG00000084093	mygene.info	GRCh38
IGFBP7	0	1	0	0	1	4	57030766	57110690	-	ENSG00000163453	mygene.info	GRCh38
SCARB2	0	1	0	0	1	4	76158737	76234536	-	ENSG00000138760	mygene.info	GRCh38
SEC31A	0	0	0	1	1	4	82818081	82901166	-	ENSG00000138674	mygene.info	GRCh38
PPP3CA	1	0	0	0	1	chr4	101013409	101358278			gene_regions_bed	GRCh38
NFKB1	1	0	0	0	1	chr4	102490937	102627302			gene_regions_bed	GRCh38
CISD2	0	1	0	0	1	4	102868971	102892807	+	ENSG00000145354	mygene.info	GRCh38
TET2	0	1	0	0	1	4	105145875	105279816	+	ENSG00000168769	mygene.info	GRCh38
LEF1	0	1	1	0	2	4	108047545	108168956	-	ENSG00000138795	mygene.info	GRCh38
ENPEP	0	0	1	0	1	4	110365733	110565285	+	ENSG00000138792	mygene.info	GRCh38
LARP7	0	1	0	0	1	4	112636990	112657858	+	ENSG00000174720	mygene.info	GRCh38
USP53	0	1	0	0	1	4	119212128	119295518	+	ENSG00000145390	mygene.info	GRCh38
BBS7	0	1	0	0	1	4	121824329	121870494	-	ENSG00000138686	mygene.info	GRCh38
PLK4	0	1	0	0	1	4	127880890	127899224	+	ENSG00000142731	mygene.info	GRCh38
PCDH10	0	1	0	0	1	4	133149294	133208606	+	ENSG00000138650	mygene.info	GRCh38
SLC7A11	0	1	0	0	1	4	138164097	138242349	-	ENSG00000151012	mygene.info	GRCh38
GAB1	1	0	0	0	1	chr4	143326402	143484565			gene_regions_bed	GRCh38
SMARCA5	0	1	0	0	1	4	143513445	143557486	+	ENSG00000153147	mygene.info	GRCh38
RAPGEF2	0	1	0	0	1	4	159103013	159360174	+	ENSG00000109756	mygene.info	GRCh38
MSMO1	0	0	0	1	1	4	165327667	165343180	+	ENSG00000052802	mygene.info	GRCh38
SPCS3	0	0	0	1	1	4	176319966	176332245	+	ENSG00000129128	mygene.info	GRCh38
TENM3	0	1	0	0	1	4	182143918	182803024	+	ENSG00000218336	mygene.info	GRCh38
CASP3	1	0	0	0	1	chr4	184617695	184660418			gene_regions_bed	GRCh38
TERT	0	1	0	0	1	5	1253147	1295085	-	ENSG00000164362	mygene.info	GRCh38
IRX2	0	1	0	0	1	5	2741794	2751677	-	ENSG00000170561	mygene.info	GRCh38
IRX1	0	1	0	0	1	5	3595832	3601403	+	ENSG00000170549	mygene.info	GRCh38
MYO10	0	1	0	0	1	5	16661907	16936288	-	ENSG00000145555	mygene.info	GRCh38
SLC45A2	0	1	1	1	3	5	33944623	33984693	-	ENSG00000164175	mygene.info	GRCh38
PTGER4	1	0	0	0	1	chr5	40669915	40703735			gene_regions_bed	GRCh38
NNT	0	1	0	0	1	5	43602660	43707405	+	ENSG00000112992	mygene.info	GRCh38
DHX29	0	0	0	1	1	5	55256055	55307707	-	ENSG00000067248	mygene.info	GRCh38
MTREX	0	1	0	0	1	5	55307736	55426065	+	ENSG00000039123	mygene.info	GRCh38
MAP3K1	1	0	1	0	2	chr5	56805538	56906152			gene_regions_bed	GRCh38
TRAPPC13	0	0	0	1	1	5	65624789	65666233	+	ENSG00000113597	mygene.info	GRCh38
CDK7	0	1	0	0	1	5	69234795	69277430	+	ENSG00000277273	mygene.info	GRCh38
F2RL1	1	0	0	0	1	chr5	76808933	76845315			gene_regions_bed	GRCh38
AP3B1	0	1	0	1	2	5	77991640	78294762	-	ENSG00000132842	mygene.info	GRCh38
MEF2C	0	1	0	0	1	5	88717117	88904257	-	ENSG00000081189	mygene.info	GRCh38
APC	0	1	0	0	1	5	112707498	112846239	+	ENSG00000134982	mygene.info	GRCh38
LVRN	0	1	0	0	1	5	115962454	116027619	+	ENSG00000172901	mygene.info	GRCh38
COMMD10	0	0	0	1	1	5	116085007	116412762	+	ENSG00000145781	mygene.info	GRCh38
LOX	0	1	0	0	1	5	122063195	122078634	-	ENSG00000113083	mygene.info	GRCh38
SLC12A2	0	1	0	0	1	5	128083714	128189677	+	ENSG00000064651	mygene.info	GRCh38
CSF2	1	0	0	0	1	chr5	132063789	132086170			gene_regions_bed	GRCh38
RAD50	0	1	0	0	1	5	132556019	132646349	+	ENSG00000113522	mygene.info	GRCh38
KIF3A	0	1	0	0	1	5	132692628	132737638	-	ENSG00000131437	mygene.info	GRCh38
HDAC3	0	0	0	1	1	5	141620778	141636867	-	ENSG00000171720	mygene.info	GRCh38
NR3C1	0	1	0	0	1	5	143277931	143435512	-	ENSG00000113580	mygene.info	GRCh38
ADRB2	0	1	0	0	1	5	148826611	148828623	+	ENSG00000169252	mygene.info	GRCh38
CSNK1A1	0	1	0	0	1	5	149492982	149551471	-	ENSG00000113712	mygene.info	GRCh38
PPARGC1B	0	0	1	0	1	5	149729994	149855022	+	ENSG00000155846	mygene.info	GRCh38
CSF1R	0	1	0	0	1	5	150053291	150113372	-	ENSG00000182578	mygene.info	GRCh38
CDX1	0	1	0	0	1	5	150166778	150184558	+	ENSG00000113722	mygene.info	GRCh38
RPS14	0	1	0	0	1	5	150442635	150449952	-	ENSG00000164587	mygene.info	GRCh38
SLC36A1	0	1	0	0	1	5	151437046	151492379	+	ENSG00000123643	mygene.info	GRCh38
ATOX1	0	1	0	0	1	5	151738084	151772532	-	ENSG00000177556	mygene.info	GRCh38
DUSP1	1	0	0	0	1	chr5	172756992	172781198			gene_regions_bed	GRCh38
MSX2	0	0	1	0	1	5	174724582	174730896	+	ENSG00000120149	mygene.info	GRCh38
CANX	0	0	0	1	1	5	179678628	179731641	+	ENSG00000283777	mygene.info	GRCh38
RACK1	0	1	0	0	1	5	181236897	181248096	-	ENSG00000204628	mygene.info	GRCh38
IRF4	0	1	1	0	2	6	391739	411443	+	ENSG00000137265	mygene.info	GRCh38
EXOC2	0	0	1	0	1	6	485133	693169	-	ENSG00000112685	mygene.info	GRCh38
BLOC1S5-TXNDC5	0	0	0	1	1	6	7881522	8064364	-	ENSG00000259040	mygene.info	GRCh38
BLOC1S5	0	1	0	1	2	6	8013566	8064414	-	ENSG00000188428	mygene.info	GRCh38
TFAP2A	1	1	0	0	2	chr6	10383186	10429659			gene_regions_bed	GRCh38
EDN1	1	1	0	0	2	chr6	12277459	12307194			gene_regions_bed	GRCh38
